id,make,model,year,fuelType1,drive,trany,VClass,cylinders,displ,speeds,drive_number,avgMpg
41353,BMW,M4 Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Compact Cars,6.0,3.0,6.0,2,25.74435
41354,BMW,M4 Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (AM-S7),Compact Cars,6.0,3.0,7.0,2,23.87581
41355,BMW,M4 CS,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (AM-S7),Compact Cars,6.0,3.0,7.0,2,23.87581
41356,BMW,M4 Coupe Competition,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Compact Cars,6.0,3.0,6.0,2,25.74435
41357,BMW,M4 Coupe Competition,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (AM-S7),Compact Cars,6.0,3.0,7.0,2,23.87581
41358,BMW,740i,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Large Cars,6.0,3.0,8.0,2,31.797359999999998
41359,BMW,740i xDrive,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Large Cars,6.0,3.0,8.0,4,29.02077
41360,BMW,750i xDrive,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Large Cars,8.0,4.4,8.0,4,25.049999999999997
41361,BMW,M760i xDrive,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Large Cars,12.0,6.6,8.0,4,19.529999999999998
41362,Jeep,Gladiator Pickup 4WD,2020,Regular Gasoline,4-Wheel Drive,Automatic 8-spd,Standard Pickup Trucks 4WD,6.0,3.6,8.0,4,24.229999999999997
41363,Jeep,Gladiator Pickup 4WD,2020,Regular Gasoline,4-Wheel Drive,Manual 6-spd,Standard Pickup Trucks 4WD,6.0,3.6,6.0,4,23.729999999999997
41364,Land Rover,Range Rover Velar,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Small Sport Utility Vehicle 4WD,8.0,5.0,8.0,4,21.90913
41373,BMW,745e xDrive,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Large Cars,6.0,3.0,8.0,4,29.709999999999997
41374,BMW,Z4 M40i,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Two Seaters,6.0,3.0,8.0,2,34.519999999999996
41375,Nissan,370Z,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S7),Two Seaters,6.0,3.7,7.0,2,28.20147
41376,Nissan,370Z,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Two Seaters,6.0,3.7,6.0,2,25.57
41377,Nissan,370Z Roadster,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S7),Two Seaters,6.0,3.7,7.0,2,26.53443
41378,Genesis,G70 AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,4,29.743199999999998
41379,Genesis,G70 RWD,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,2,32.31294
41380,Genesis,G70 RWD,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Compact Cars,4.0,2.0,6.0,2,27.96
41381,Hyundai,Veloster,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Compact Cars,4.0,2.0,6.0,2,39.450889999999994
41382,Hyundai,Veloster,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Compact Cars,4.0,2.0,6.0,2,37.199999999999996
41383,Hyundai,Veloster,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM7),Compact Cars,4.0,1.6,7.0,2,40.26
41384,Hyundai,Veloster,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Compact Cars,4.0,1.6,6.0,2,36.629999999999995
