title,budget,revenue,runtime,imdbRating,Month,Age Rating,RT_Rating,,TV Movie,Documentary,Western,Action,Thriller,Crime,Adventure,Drama,Family,Horror,Music,Comedy,Romance,War,Fantasy,Animation,Mystery,History,Science Fiction,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming,Poster_Features
Indiana Jones and the Dial of Destiny,6.625168783412405,1.8602188593135185,2.148184039449678,0.14051454006357642,06-2023,2.0,0.5026326358135944,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6535.0,1309.0,8002.0,5103.0,39712.0,5875.0,2546.0,1367.0,2402.0,10376.0,879.0,1484.0,17034.0,7163.0,2833.0,4028.0,4045.0,5963.0,1138.0,6765.0,6391.0,14072.0,4423.0,1694.0,7638.0,1293.0,1254.0,5195.0,984.0,7083.0,3546.0,30238.0,11663.0,1078.0,13984.0,5725.0,3793.0,9502.0,854.0,7757.0,1172.0,12214.0,39361.0,3144.0,319.0,7810.0,1377.0,4038.0,518.0,[0.        0.        0.        ... 2.2663863 0.        0.       ]
Asteroid City,-0.010601044704164824,-0.166697214059084,-0.05453935932324117,0.14051454006357642,06-2023,2.0,0.7284247463074478,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6535.0,1309.0,8002.0,5103.0,39712.0,5875.0,2546.0,1367.0,2402.0,10376.0,879.0,1484.0,17034.0,7163.0,2833.0,4028.0,4045.0,5963.0,1138.0,6765.0,6391.0,14072.0,4423.0,1694.0,7638.0,1293.0,1254.0,5195.0,984.0,7083.0,3546.0,30238.0,11663.0,1078.0,13984.0,5725.0,3793.0,9502.0,854.0,7757.0,1172.0,12214.0,39361.0,3144.0,319.0,7810.0,1377.0,4038.0,518.0,[0.        0.        0.        ... 1.8474976 0.        0.       ]
Joy Ride,-0.6257076286971727,-0.3851639270625041,-0.49508403907782494,0.040956454601651524,06-2023,3.0,1.2552730041264395,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6535.0,1309.0,8002.0,5103.0,39712.0,5875.0,2546.0,1367.0,2402.0,10376.0,879.0,1484.0,17034.0,7163.0,2833.0,4028.0,4045.0,5963.0,1138.0,6765.0,6391.0,14072.0,4423.0,1694.0,7638.0,1293.0,1254.0,5195.0,984.0,7083.0,3546.0,30238.0,11663.0,1078.0,13984.0,5725.0,3793.0,9502.0,854.0,7757.0,1172.0,12214.0,39361.0,3144.0,319.0,7810.0,1377.0,4038.0,518.0,"[0.000000e+00 0.000000e+00 1.420622e-03 ... 2.275191e+00 0.000000e+00
 0.000000e+00]"
Ant-Man and the Wasp: Quantumania,4.29514504324689,2.4133828362523624,0.8265500001859264,-0.35727588724604986,02-2023,2.0,-0.4005358061618197,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6259.0,1045.0,7451.0,4484.0,33455.0,5218.0,2248.0,1232.0,1915.0,10309.0,923.0,1401.0,13448.0,5780.0,2532.0,3307.0,3640.0,5631.0,913.0,6111.0,5296.0,11629.0,3494.0,1597.0,6515.0,1010.0,1231.0,4798.0,1071.0,5853.0,2854.0,24237.0,11234.0,866.0,12197.0,4919.0,3221.0,7710.0,657.0,7817.0,984.0,10889.0,35743.0,2701.0,261.0,6501.0,1248.0,3604.0,499.0,[0.        0.        0.0061312 ... 2.4700131 0.        0.       ]
Knock at the Cabin,-0.1336223615027664,-0.12197628819369363,-0.27481169920053305,-0.25771780178412496,02-2023,3.0,0.38973658056666777,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6259.0,1045.0,7451.0,4484.0,33455.0,5218.0,2248.0,1232.0,1915.0,10309.0,923.0,1401.0,13448.0,5780.0,2532.0,3307.0,3640.0,5631.0,913.0,6111.0,5296.0,11629.0,3494.0,1597.0,6515.0,1010.0,1231.0,4798.0,1071.0,5853.0,2854.0,24237.0,11234.0,866.0,12197.0,4919.0,3221.0,7710.0,657.0,7817.0,984.0,10889.0,35743.0,2701.0,261.0,6501.0,1248.0,3604.0,499.0,"[0.0000000e+00 0.0000000e+00 1.4915442e-03 ... 2.5377605e+00 0.0000000e+00
 0.0000000e+00]"
Cocaine Bear,0.17393093049373753,0.07637412532842672,-0.4510295711023666,-0.45683397270797477,02-2023,3.0,0.3521045621510253,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6259.0,1045.0,7451.0,4484.0,33455.0,5218.0,2248.0,1232.0,1915.0,10309.0,923.0,1401.0,13448.0,5780.0,2532.0,3307.0,3640.0,5631.0,913.0,6111.0,5296.0,11629.0,3494.0,1597.0,6515.0,1010.0,1231.0,4798.0,1071.0,5853.0,2854.0,24237.0,11234.0,866.0,12197.0,4919.0,3221.0,7710.0,657.0,7817.0,984.0,10889.0,35743.0,2701.0,261.0,6501.0,1248.0,3604.0,499.0,[0.        0.        0.        ... 2.7576017 0.        0.       ]
Magic Mike's Last Dance,0.4814842224902415,-0.1382862273000559,0.25384191650496746,-1.1537405709414517,02-2023,3.0,-0.36290378774617726,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6259.0,1045.0,7451.0,4484.0,33455.0,5218.0,2248.0,1232.0,1915.0,10309.0,923.0,1401.0,13448.0,5780.0,2532.0,3307.0,3640.0,5631.0,913.0,6111.0,5296.0,11629.0,3494.0,1597.0,6515.0,1010.0,1231.0,4798.0,1071.0,5853.0,2854.0,24237.0,11234.0,866.0,12197.0,4919.0,3221.0,7710.0,657.0,7817.0,984.0,10889.0,35743.0,2701.0,261.0,6501.0,1248.0,3604.0,499.0,[0.         0.         0.01703724 ... 1.848909   0.         0.        ]
80 for Brady,0.06321174537499612,-0.27293807564086375,-0.3629206351514498,-0.45683397270797477,02-2023,2.0,0.051048414825887345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6259.0,1045.0,7451.0,4484.0,33455.0,5218.0,2248.0,1232.0,1915.0,10309.0,923.0,1401.0,13448.0,5780.0,2532.0,3307.0,3640.0,5631.0,913.0,6111.0,5296.0,11629.0,3494.0,1597.0,6515.0,1010.0,1231.0,4798.0,1071.0,5853.0,2854.0,24237.0,11234.0,866.0,12197.0,4919.0,3221.0,7710.0,657.0,7817.0,984.0,10889.0,35743.0,2701.0,261.0,6501.0,1248.0,3604.0,499.0,[0.         0.         0.03421736 ... 2.6410167  0.         0.        ]
Creed III,1.2196121232818509,1.1683591592475355,0.430059788406801,0.3396307109874271,03-2023,2.0,1.1800089672951553,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6898.0,1215.0,7823.0,5170.0,38149.0,5840.0,2510.0,1364.0,2112.0,11356.0,1036.0,1393.0,15044.0,6287.0,2723.0,3929.0,4052.0,6316.0,1040.0,7140.0,6182.0,13028.0,3780.0,1761.0,7022.0,1201.0,1437.0,5272.0,1107.0,6455.0,3260.0,27747.0,12545.0,906.0,13291.0,5476.0,3473.0,9518.0,815.0,8228.0,1198.0,12110.0,40397.0,3019.0,367.0,7350.0,1407.0,4076.0,577.0,[0.        0.        0.        ... 2.5796149 0.        0.       ]
Shazam! Fury of the Gods,2.449825291267867,0.3520797521563579,1.0468223400632182,-0.45683397270797477,03-2023,2.0,-0.2876397509148927,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6898.0,1215.0,7823.0,5170.0,38149.0,5840.0,2510.0,1364.0,2112.0,11356.0,1036.0,1393.0,15044.0,6287.0,2723.0,3929.0,4052.0,6316.0,1040.0,7140.0,6182.0,13028.0,3780.0,1761.0,7022.0,1201.0,1437.0,5272.0,1107.0,6455.0,3260.0,27747.0,12545.0,906.0,13291.0,5476.0,3473.0,9518.0,815.0,8228.0,1198.0,12110.0,40397.0,3019.0,367.0,7350.0,1407.0,4076.0,577.0,[0.         0.         0.02967628 ... 2.281831   0.         0.        ]
