title,release_date,original_language,genres,budget,revenue,runtime,year,Rated,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID
Moonraker,1979-06-26,en,Action-Adventure-Thriller-Science Fiction,34000000.0,210308099.0,126.0,1979.0,PG,posters/Moonraker_1979_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,6.2,"110,460",tt0079574
Amsterdam,2022-09-27,en,Comedy-Crime-Thriller,80000000.0,31245810.0,134.0,2022.0,R,posters/Amsterdam_2022_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.1,"96,495",tt10304142
Batman: Mask of the Phantasm,1993-12-25,en,Action-Animation-Crime-Mystery-Drama,6000000.0,5617391.0,76.0,1993.0,PG,posters/Batman:_Mask_of_the_Phantasm_1993_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,7.8,"58,568",tt0106364
War Dogs,2016-08-17,en,Comedy-Crime-Drama,40000000.0,86234523.0,114.0,2016.0,R,posters/War_Dogs_2016_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,7.1,"265,142",tt2005151
Notorious,2009-01-16,en,Music-Drama-History,0.0,43051547.0,122.0,2009.0,R,posters/Notorious_2009_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.7,"46,510",tt0472198
Shaun of the Dead,2004-04-09,en,Horror-Comedy,6100000.0,30097092.0,99.0,2004.0,R,posters/Shaun_of_the_Dead_2004_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.9,"603,491",tt0365748
Undisputed,2002-07-17,en,Drama-Crime,20000000.0,14946150.0,96.0,2002.0,R,posters/Undisputed_2002_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,6.1,"34,892",tt0281322
Neighbors 2: Sorority Rising,2016-05-04,en,Comedy,35000000.0,108758521.0,92.0,2016.0,R,posters/Neighbors_2:_Sorority_Rising_2016_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,5.7,"132,020",tt4438848
Midway,2019-11-06,en,War-History-Action-Drama-Adventure,100000000.0,127420861.0,138.0,2019.0,PG-13,posters/Midway_2019_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,6.7,"96,652",tt6924650
Better Watch Out,2017-10-06,en,Comedy-Horror-Thriller,0.0,176288.0,89.0,2017.0,,posters/Better_Watch_Out_2017_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",,4.4,11,tt4907322
The Painted Veil,2006-01-01,en,Romance-Drama,19400000.0,26910847.0,125.0,2006.0,PG-13,posters/The_Painted_Veil_2006_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,7.4,"96,608",tt0446755
Mr. Peabody & Sherman,2014-02-07,en,Animation-Adventure-Family,145000000.0,272912430.0,92.0,2014.0,PG,posters/Mr._Peabody_&_Sherman_2014_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,6.8,"79,238",tt0864835
The Dark,2005-09-28,en,Horror-Thriller-Mystery,0.0,6593579.0,87.0,2005.0,R,posters/The_Dark_2005_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",,5.3,"11,530",tt0411267
Noah,2014-03-07,en,Drama-Adventure,125000000.0,362600000.0,138.0,2014.0,PG-13,posters/Noah_2014_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,5.8,"268,963",tt1959490
The Raven,2012-03-09,en,Crime-Thriller-Mystery,26000000.0,29657751.0,111.0,2012.0,R,posters/The_Raven_2012_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,6.4,"88,815",tt1486192
Kick-Ass 2,2013-07-17,en,Action-Adventure-Crime,28000000.0,60700000.0,103.0,2013.0,R,posters/Kick-Ass_2_2013_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,6.5,"291,550",tt1650554
Sherlock Holmes,2009-12-23,en,Action-Adventure-Crime-Mystery,90000000.0,524028679.0,129.0,2009.0,PG-13,posters/Sherlock_Holmes_2009_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,7.6,"679,244",tt0988045
Death Wish,2018-03-02,en,Action-Crime-Drama-Thriller,30000000.0,34017028.0,107.0,2018.0,R,posters/Death_Wish_2018_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,6.3,"77,781",tt1137450
The Tuxedo,2002-09-27,en,Thriller-Action-Comedy-Science Fiction,60000000.0,104391623.0,98.0,2002.0,PG-13,posters/The_Tuxedo_2002_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,5.4,"89,609",tt0290095
Wonder,2017-11-13,en,Drama-Family,20000000.0,305937718.0,113.0,2017.0,PG,posters/Wonder_2017_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,7.9,"183,174",tt2543472
Ace Ventura: Pet Detective,1994-02-04,en,Comedy-Mystery,15000000.0,107217396.0,86.0,1994.0,PG-13,posters/Ace_Ventura:_Pet_Detective_1994_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,6.9,"331,275",tt0109040
Keeping Up with the Joneses,2016-10-20,en,Action-Comedy,40000000.0,29900000.0,105.0,2016.0,PG-13,posters/Keeping_Up_with_the_Joneses_2016_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,5.9,"69,314",tt2387499
Fool's Gold,2008-02-07,en,Romance-Comedy-Adventure,70000000.0,111231041.0,112.0,2008.0,PG-13,posters/Fool's_Gold_2008_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29.0,5.7,"85,574",tt0770752
Sleeping with the Enemy,1991-01-13,en,Drama-Crime-Thriller,19000000.0,175000000.0,99.0,1991.0,R,posters/Sleeping_with_the_Enemy_1991_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.3,"66,732",tt0102945
