Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
09-2018,8662,1574,9276,5445,38459,5898,3050,1516,2099,37,10760,1371,1615,4819,6008,2038,4945,4022,7013,1020,7335,6676,14160,3741,1629,7732,1051,2149,5603,1461,6014,3058,12994,10624,924,15139,4854,3515,10396,950,8684,1234,13334,37246,2785,420,2785,7696,1348,3897,471
10-2018,8221,1567,8951,5489,38705,5377,3020,1450,2062,0,10897,1398,1581,4829,5671,1869,3407,3993,6829,947,8138,6167,13459,3434,1711,7486,1074,2161,5318,1343,6004,2906,12277,11072,926,14289,4847,3489,10880,847,8516,941,12490,36758,2896,375,2896,7657,1075,3968,460
11-2018,7019,1373,8373,4785,34854,5164,2753,1256,1803,0,9885,1311,1353,4307,5146,1593,2946,3441,5949,805,7099,5563,12341,3149,1533,6265,967,1836,4692,1247,5412,2833,10943,9739,751,12456,4199,3202,9359,766,7386,887,11150,33636,2556,332,2556,6981,1012,3561,417
12-2018,7191,1371,8117,4635,36092,5145,2752,1385,1794,271794,10131,1345,1426,4438,5412,1722,4418,3581,6255,872,7130,5940,12851,3321,1589,6779,1001,1809,5037,1202,5873,2743,11252,9547,814,12758,4217,3193,9597,838,7814,881,11940,35043,2662,311,2662,7171,1153,3614,463
01-2019,6089,1450,8387,5049,34668,5063,2679,1331,1771,27,9835,1357,1551,3984,4960,2353,3069,3547,6414,897,6983,5591,11862,3525,1782,6657,1034,1847,4989,1266,5505,2930,10798,10477,818,12446,4565,3403,9484,764,7629,926,11853,34967,2537,368,2537,7593,1103,3499,474
02-2019,5498,1179,7572,4384,31589,4607,2238,1131,1556,33,9463,1132,1369,3557,4530,2160,2806,3124,6139,888,6393,4948,11065,3169,1643,5785,909,1603,4267,1113,4940,2717,9975,9378,755,11612,3856,2958,8335,717,7237,788,10408,32518,2423,330,2423,6073,1095,3168,446
03-2019,6359,1396,8843,5001,36823,4953,2638,1248,1745,33,10902,1303,1412,3959,5014,2488,4441,3588,6675,974,7358,5875,12866,3599,1751,6744,1027,1932,5169,1287,5633,2983,11223,10845,935,13527,4326,3264,9604,884,8103,976,11686,36331,2757,389,2757,7153,1266,3603,443
04-2019,6631,1330,9183,5615,36801,5406,2718,1321,1964,24,10910,1368,1421,4520,5361,2736,3547,3787,7023,953,7357,5705,13058,3799,1954,7249,1138,2025,5286,1323,5702,3080,11477,11281,907,14203,4800,3299,10417,879,8235,989,13008,38491,2692,360,2692,6941,1277,3869,464
05-2019,6661,1486,9488,5784,38645,5390,3077,1594,2183,22,11380,1476,1637,5038,6342,2934,3770,4145,7483,1119,7882,6481,14665,4152,2028,8122,1122,2192,5632,1446,6294,3193,12985,12557,963,15712,5102,3695,10997,877,9279,1102,13712,40377,3034,401,3034,8010,1381,4244,506
06-2019,5481,1500,8980,5295,38212,5399,2934,1507,2113,26,9685,1249,1548,5110,4798,2811,4589,3899,6572,1078,7481,6436,14596,4146,1884,7564,1172,2208,5347,1400,6202,3065,13114,11302,999,14871,4851,3752,10240,937,8402,1058,12712,37180,2792,359,2792,7646,1278,3906,486
07-2019,4857,1591,9434,5392,40104,5718,2967,1490,2173,22,8592,1388,1617,5461,6362,2767,3582,4206,6966,1218,7058,6800,15122,4398,1904,7931,1212,2232,5210,1365,6526,3389,13981,11119,872,15741,4944,3607,3349,961,8264,1010,13045,38323,2967,447,2967,7846,1390,4333,492
08-2019,2617,1684,10007,5638,40089,6103,3065,1535,2139,29,9749,1519,1512,5102,6440,2798,3494,4265,7002,1187,7060,6462,14002,4255,2102,7679,1206,2205,5534,1277,6131,3604,13200,11564,1076,15556,5178,3756,10410,945,8413,1405,13099,39270,3078,408,3078,7858,1305,4064,549
09-2019,133,1472,9826,5593,38658,5941,2971,1515,2236,26,8546,1319,1489,5020,6093,2908,4614,4360,6954,1045,7468,6523,14117,4290,2033,7720,1147,2255,5396,1461,6158,3127,12763,12079,900,15726,5346,3601,10698,978,9051,1164,13018,39959,2981,401,2981,7374,1286,4160,562
10-2019,117,1427,9296,5285,38100,5276,2953,1522,2137,32,5849,1351,1413,4669,5424,2833,3653,3982,6349,1009,7241,6991,13614,4074,1885,7052,1127,1990,5004,1453,6094,3271,12432,11898,968,14357,4673,3386,10850,967,8569,1171,12091,38135,2937,347,2937,7338,1019,4155,510
11-2019,109,1289,8995,4774,33416,5196,2742,1300,1925,35,5435,1297,1387,4190,5278,2591,3354,3552,6168,870,6776,6191,12488,3848,1755,6606,1126,1958,4774,1248,5285,2842,11186,10806,939,12966,4276,3286,9249,820,7381,1143,10835,35894,2822,317,2822,6717,1049,3762,513
12-2019,119,1357,8594,4905,34267,4910,2719,1367,1900,272066,5511,1284,1423,4510,5192,2529,4217,3505,5831,914,6289,6042,12609,3704,1706,6505,1149,1872,4875,1151,5439,2577,11153,11035,839,13337,4459,3323,8669,786,7895,1208,11542,35480,2578,300,2578,6980,1260,3954,463
01-2020,7279,1246,9252,4952,35355,5487,2758,1365,1857,39,6818,1289,1537,4184,5614,2660,3869,3752,6137,1063,6803,6396,12903,3834,2172,6902,1142,1815,4993,1318,5490,2936,11900,11672,962,13314,4545,3413,8426,823,8053,1307,11710,36373,2822,378,2822,7174,1358,3929,500
02-2020,6324,1130,8927,4651,34296,4893,2513,1207,1752,23,6604,1236,1461,3757,5079,2468,3408,3323,6179,890,6315,5561,11820,3506,2096,6103,1026,1974,4906,1108,5247,2797,10803,10677,842,12260,4280,3226,7734,757,7248,1079,10401,34983,2742,296,2742,6597,1297,3623,449
03-2020,6793,1198,9344,5172,34516,4966,2652,1217,1748,150,7821,1205,1423,3986,5385,2501,3643,3591,6436,1037,6498,5528,12313,3602,2235,6944,1059,1888,5477,1280,5267,3087,11086,11880,1003,13112,4621,3188,7539,723,7976,1234,11558,37944,2711,314,2711,6752,1235,3803,489
04-2020,5915,1265,8939,4937,31829,4665,2041,1126,1370,18,6636,968,1335,3610,4894,2172,3238,3490,5559,907,4873,4599,10802,3294,2058,6465,1060,1791,4803,995,4083,2933,9160,10487,930,11944,4342,2839,6202,514,7206,1164,10597,34498,2444,275,2444,6263,1036,3170,450
05-2020,5837,1376,9626,6370,35698,5812,2722,1208,1779,12,9019,1165,1488,4777,6441,2740,4062,4409,6752,1258,5917,5473,13148,3871,2415,8270,1310,2226,4952,1241,5394,3327,11491,12515,1150,14904,5423,3333,7432,782,8707,1333,13112,41224,2842,322,2842,7091,1390,4148,560
06-2020,3353,1429,8832,6016,36032,5779,2983,1550,1776,556,9064,1215,1518,5416,6895,3011,4336,4861,7023,1239,6497,6017,14749,4621,2416,8940,1397,2189,5565,1285,5619,3445,12796,12901,1193,16269,5518,3361,8037,885,8851,1392,13444,40329,2873,389,2873,7046,1277,4581,612
07-2020,4699,1545,9344,5949,36601,6201,3035,1472,1846,48,9154,1227,1726,5397,7432,3167,4236,4829,6696,1438,6730,6675,15678,4927,2628,8654,1412,2280,5934,1313,6075,3444,13860,13597,1332,16686,5390,3855,8123,930,8387,1472,13634,40531,3209,406,3209,7647,1530,4869,672
08-2020,2953,1533,9578,5874,38470,6518,3071,1446,1820,51,9403,1279,1769,5562,7073,3199,4072,4431,7137,1312,6571,6747,15460,4618,2770,8049,1397,2351,6220,1327,5926,3616,13959,13349,1251,16192,5481,3723,8504,876,8303,1382,13384,42060,3306,376,3306,7594,1570,4619,657
09-2020,620,1270,9283,5541,36305,5789,2882,1437,1777,33,9035,1112,1471,4977,6469,2737,3800,4100,5843,1103,5667,5945,14005,4439,2497,7439,1201,2075,5898,1276,5647,3007,12414,12255,1015,14272,5095,3538,7914,827,7817,1227,12273,38722,3025,358,3025,7088,1401,4286,613
10-2020,641,1258,9523,5725,37249,5520,2902,1330,1881,0,10172,1170,1452,4954,6412,2617,3787,4037,6583,1078,5906,5735,13517,4354,2363,7308,1168,1686,5704,1208,5400,3103,12773,12848,1060,14127,4940,3435,8355,895,8177,1117,12514,40596,2881,328,2881,6897,1302,4119,580
11-2020,539,1169,8590,5238,32826,5039,2442,1138,1696,0,9728,1166,1325,4409,6021,2365,3451,3688,6269,931,5325,5184,12777,3934,2206,7035,1157,1536,5101,1088,4910,2539,11563,11974,923,12792,4502,3058,7354,677,7310,1101,11429,38227,2736,307,2736,5930,1264,4021,549
12-2020,649,1180,8204,4873,33171,5039,2525,1199,1536,263189,9407,1231,1246,3909,5594,2281,3305,3598,5830,945,5939,5265,11823,3665,1829,6428,1107,1857,4774,1039,4592,2525,11132,11397,948,12269,4431,3107,6759,608,7107,1110,11107,37497,2636,290,2636,6048,1183,3852,518
01-2021,3197,588,3505,4893,4763,5572,2476,1197,67,5093,10023,1458,1458,3514,5428,2344,3825,3955,5671,977,2401,4875,12374,3846,2026,6858,1200,1298,5074,1014,1904,3104,3080,11096,997,12344,5001,3133,5621,672,7548,1104,11273,37598,2811,294,2811,6427,1244,3994,507
02-2021,3696,555,3335,4122,4902,4940,2154,1092,74,4486,9323,1213,1227,3358,4823,2217,3340,3208,5510,854,2232,4491,10631,3530,1732,5607,1069,1196,4899,1063,1589,2888,3065,9811,968,11154,4194,2954,4695,551,6563,1003,9987,33518,2657,265,2657,5721,1140,3451,450
03-2021,4221,617,4132,5173,6308,5117,2564,1210,91,4989,10517,1409,1358,4158,5793,2707,3881,3838,6441,1060,2653,5289,12706,3953,2030,6739,1202,1452,5341,1216,3464,3074,3738,11273,1017,13306,5289,3367,5498,727,7730,1092,11792,38623,2910,322,2910,6592,1357,3984,460
04-2021,4163,610,4260,5648,6812,5518,2508,1280,116,5171,10439,1509,1533,4484,5475,2742,3940,3972,6555,1009,2631,5433,12629,4089,1974,7473,1255,1442,5651,1176,3622,3123,3979,12527,1019,13644,5387,3437,5967,783,8039,1143,12580,39658,2972,316,2972,6730,1251,4101,503
05-2021,5065,671,4655,6260,8096,6150,3056,1511,134,5953,11094,1606,1606,5194,6348,3083,4360,4469,7351,1150,3099,6211,14796,4916,2351,8059,1349,1523,6057,1461,4864,3472,4521,13650,1137,15495,5532,3799,6370,775,9098,1295,13701,43826,3307,342,3307,7172,1443,4640,547
06-2021,4654,731,3990,5894,7898,6124,2903,1514,122,5291,10380,1586,1544,5371,6261,2926,4117,4305,6721,1242,2994,6467,14663,4759,2176,7805,1398,1395,5841,1324,4161,3526,4576,13029,1024,14793,5539,3876,6677,801,8106,1207,12937,40935,3231,354,3231,7388,1308,4567,474
07-2021,5288,796,4251,6048,8577,6393,2918,1464,124,5492,10647,1511,1627,13377,6018,2900,3750,4255,6551,1331,4797,6532,15004,4718,2181,7823,1605,1464,5854,1183,4381,3566,4507,12962,1198,15496,5559,4102,6752,823,8366,1238,13113,41330,3373,393,3373,7892,1293,4802,546
08-2021,5498,622,4312,5813,8528,6687,2905,1410,2066,6562,11548,1707,1574,12998,6520,2936,4297,4151,6288,1286,4459,6494,14875,4681,2107,7804,1340,1492,5994,1215,4276,3504,4370,12573,1073,15096,5513,3675,6749,787,8158,1221,12814,41814,3223,389,3223,7592,1375,4411,520
09-2021,5673,619,4579,5900,8911,6404,2845,1461,2069,6206,11363,1542,1517,13758,6312,3086,4115,4122,6247,1148,4965,6469,14166,4580,2314,7832,1265,1491,5697,1317,4601,3489,4234,13338,1157,14487,5572,3652,6798,862,8448,1104,12458,42049,3280,400,3280,7454,1265,4364,500
10-2021,5983,643,4390,6040,9727,6410,2956,1516,2156,6754,11614,1605,1510,14061,6167,3165,3772,4316,6842,1089,5237,6812,14593,4996,2326,7782,1333,1422,5712,1465,4931,3443,4527,14015,1035,14696,5353,3685,7136,850,8780,1209,13221,43657,3185,385,3185,7989,1223,4598,535
11-2021,5396,511,4151,5084,9026,5770,2660,1284,1932,5659,10085,1568,1359,12145,5712,2680,3600,3684,6063,1106,4567,5786,12521,4314,1828,7083,1194,1387,5353,1195,4444,2664,3871,12098,946,12310,4908,3457,6442,707,7543,1051,11520,38532,2886,334,2886,7208,1092,3888,414
