Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
08-2017,4441,769,3870,1888,20329,3240,2178,1236,1163,24,4770,447,1058,279,2669,1373,1608,2142,3207,742,3760,3156,5645,2081,834,3784,693,1570,2452,734,2803,1217,7247,6435,482,4667,1720,1773,6188,556,4172,695,6755,17689,1450,246,1450,3891,787,2517,302
09-2017,4141,745,3803,1867,19279,3109,1924,1097,1113,19,4512,471,1021,295,2502,1368,2483,2012,3230,640,4045,2952,5174,2173,803,3918,627,1129,2233,645,2756,1178,7044,6217,398,4569,1723,1689,6033,520,4183,694,6263,18212,1304,268,1304,3504,771,2508,279
10-2017,3903,672,3700,1876,19502,2934,2003,1219,1085,22,4517,434,902,271,2432,1480,1539,2071,3236,675,4097,2949,5521,2130,777,3713,642,1364,2321,649,2740,1197,7051,6374,476,4701,1717,1637,6240,498,4167,645,6443,18663,1383,224,1383,3635,760,2510,307
11-2017,3595,713,3497,1742,17357,2795,1845,1013,1045,21,4251,493,947,256,2314,1333,1317,1906,2965,577,3727,2757,5017,1973,672,3402,602,1135,2081,688,2465,939,6252,5563,350,4318,1574,1507,5523,473,3936,602,5814,17115,1280,191,1280,3448,615,2499,295
12-2017,3281,763,3369,1540,17618,2995,1782,948,1148,150776,4131,456,867,258,2051,1242,2140,1777,2803,655,4220,2719,4973,1902,634,3239,596,1110,2226,597,2391,960,5973,5170,380,4001,1486,1549,5419,460,3639,611,5716,16254,1191,193,1191,3450,618,2405,253
01-2018,3694,798,3478,1847,18420,3029,1917,1119,971,0,4927,364,929,298,2470,1313,1122,2009,2808,644,3887,2690,5200,2257,693,3473,560,1213,2206,664,2436,1283,6475,6587,427,4264,1544,1664,5858,425,3817,635,5871,17023,1326,216,1326,3644,542,2426,318
02-2018,3734,685,3281,1759,16568,2763,1733,950,902,23,4871,411,733,229,2237,1175,739,1764,3079,627,3567,2383,4582,1980,626,3201,559,1120,2143,615,2205,1206,5912,6032,360,4084,1445,1611,5203,468,3716,510,5601,16017,1132,215,1132,3141,540,2202,267
03-2018,3952,769,3693,2014,18232,3099,1953,1094,1128,56,4158,495,954,280,2414,1411,1318,2103,3366,644,3911,2881,5390,2179,679,3643,591,1343,2282,679,2510,1399,6587,6241,419,4491,1601,1829,5790,502,4273,592,6371,16816,1292,216,1292,3762,655,2495,304
04-2018,3531,690,3773,2056,18894,3007,1947,1106,1140,0,4402,498,885,263,2343,1390,438,1900,3188,661,3962,2612,5335,2163,682,3649,556,1312,2360,603,2415,1420,6476,6369,388,4569,1573,1780,5728,482,4402,602,6299,17176,1255,173,1255,3483,602,2290,221
05-2018,4423,798,4163,2158,19960,3309,2108,1205,1148,0,4874,584,1026,293,2839,1290,486,2128,3424,657,4135,3092,6081,2404,804,4035,674,1400,2667,718,2909,1546,7289,7001,526,5193,1771,2036,6429,557,4740,760,6956,17899,1411,177,1411,4081,677,2513,270
